Table 2. 2022 state energy-related carbon dioxide emissions by fuel,,,,,,,
,,,,,,,
,million metric tons of carbon dioxide,,,,shares,,
State,Coal,Petroleum,Natural gas,Total,Coal,Petroleum,Natural Gas
AL,28.5,39.7,41.1,109.3,26.0%,36.3%,37.6%
AK,1.8,17.2,22.3,41.3,4.3%,41.6%,54.1%
AZ,14.8,42.0,24.7,81.4,18.1%,51.5%,30.4%
AR,20.3,22.1,20.8,63.2,32.1%,35.0%,32.9%
CA,2.9,212.2,111.2,326.2,0.9%,65.0%,34.1%
CO,22.3,39.0,27.4,88.7,25.2%,43.9%,30.9%
CT,0.0,20.8,16.2,37.0,0.0%,56.3%,43.7%
DE,0.2,7.8,4.7,12.7,1.4%,61.7%,36.9%
DC,0.0,1.0,1.6,2.6,0.0%,39.7%,60.3%
FL,16.5,127.0,87.5,231.0,7.1%,55.0%,37.9%
GA,17.3,64.8,42.6,124.8,13.9%,51.9%,34.2%
HI,0.7,17.3,0.0,18.1,4.1%,95.9%,0.0%
ID,0.2,13.1,7.4,20.7,0.9%,63.3%,35.8%
IL,47.5,76.7,59.5,183.7,25.9%,41.7%,32.4%
IN,68.5,47.3,47.4,163.2,42.0%,29.0%,29.1%
IA,21.8,27.3,22.4,71.5,30.5%,38.1%,31.3%
KS,21.7,24.0,16.5,62.1,35.0%,38.5%,26.5%
KY,50.1,38.5,21.0,109.6,45.7%,35.1%,19.1%
LA,9.3,75.8,106.7,191.8,4.8%,39.5%,55.6%
ME,0.1,11.6,3.3,14.9,0.8%,77.4%,21.8%
MD,5.9,28.3,16.4,50.6,11.7%,55.9%,32.4%
MA,0.0,36.4,22.8,59.2,0.0%,61.5%,38.5%
MI,40.4,56.4,57.1,154.0,26.3%,36.6%,37.1%
MN,17.7,38.9,27.9,84.4,20.9%,46.0%,33.0%
MS,6.3,26.1,32.6,65.1,9.7%,40.2%,50.1%
MO,54.3,41.6,16.9,112.9,48.1%,36.9%,15.0%
MT,12.6,12.0,4.9,29.5,42.7%,40.7%,16.6%
NE,21.4,16.4,10.3,48.1,44.6%,34.1%,21.4%
NV,3.4,21.0,16.0,40.4,8.5%,52.0%,39.5%
NH,0.4,10.3,3.2,13.8,2.7%,74.4%,22.9%
NJ,0.6,52.2,39.8,92.5,0.6%,56.4%,43.0%
NM,13.2,17.5,15.7,46.5,28.5%,37.8%,33.8%
NY,0.6,91.5,74.0,166.1,0.4%,55.1%,44.6%
NC,15.6,61.7,39.2,116.6,13.4%,52.9%,33.7%
ND,35.4,11.7,10.0,57.0,62.0%,20.5%,17.5%
OH,51.4,70.4,74.4,196.2,26.2%,35.9%,37.9%
OK,10.2,36.2,40.6,87.1,11.8%,41.6%,46.7%
OR,0.1,21.9,15.6,37.6,0.3%,58.2%,41.5%
PA,41.1,71.2,101.2,213.5,19.3%,33.3%,47.4%
RI,0.0,5.2,4.9,10.2,0.0%,51.4%,48.6%
SC,14.5,33.9,18.9,67.3,21.5%,50.4%,28.1%
SD,2.4,7.9,5.3,15.6,15.2%,50.7%,34.2%
TN,19.6,48.6,22.9,91.1,21.5%,53.3%,25.2%
TX,89.3,315.9,257.8,663.0,13.5%,47.6%,38.9%
UT,22.8,22.2,15.1,60.1,38.0%,37.0%,25.1%
VT,0.0,4.8,0.7,5.5,0.0%,86.6%,13.4%
VA,6.4,54.9,35.0,96.2,6.6%,57.0%,36.3%
WA,4.0,50.6,20.0,74.7,5.4%,67.8%,26.8%
WV,51.4,13.1,14.7,79.2,64.9%,16.6%,18.5%
WI,22.3,35.8,32.5,90.6,24.6%,39.5%,35.9%
WY,37.4,9.9,8.9,56.2,66.6%,17.7%,15.8%